Cluster,RNA Sequence
Cluster 1735,rna-XM_030267274.3.2
Cluster 1736,rna-XM_041716565.1.10
Cluster 1737,rna-NM_001397770.1.30
Cluster 1738,rna-NM_001321614.2.3
Cluster 1739,rna-XM_015297373.4.58
Cluster 1740,rna-XM_040697564.2.20
Cluster 1741,rna-XM_015281958.4.1
Cluster 1742,rna-XM_420868.8.7
Cluster 1743,rna-NM_001005811.2.14
Cluster 1744,rna-NM_001379126.2.127
Cluster 1745,rna-XM_041713024.1.228
Cluster 1746,rna-XM_046903932.1.4
Cluster 1747,rna-XM_046902569.1.18
Cluster 1748,rna-XM_046900454.1.19
Cluster 1749,rna-NM_001396585.1.17
Cluster 1750,rna-XM_030272479.3.17
Cluster 1751,rna-XM_015298787.4.81
Cluster 1752,rna-NM_001396716.1.6
Cluster 1753,rna-XM_015295909.4.18
Cluster 1754,rna-NM_001012822.2.36
Cluster 1755,rna-XM_046899440.1.21
Cluster 1756,rna-XM_040646762.2.13
Cluster 1757,rna-XM_040697394.2.3
Cluster 1758,rna-XM_040704561.2.10
Cluster 1759,rna-XM_041719822.1.55
Cluster 1760,rna-NM_001396807.1.39
Cluster 1761,rna-XM_030276973.3.69
Cluster 1762,rna-XM_015279215.4.21
Cluster 1763,rna-NM_001389568.2.6
Cluster 1764,rna-XM_040706680.2.14
Cluster 1765,rna-XM_015280508.4.54
Cluster 1766,rna-XM_041718394.1.19
Cluster 1767,rna-XM_030259927.3.4
Cluster 1768,rna-XM_041715507.1.3
Cluster 1769,rna-XM_004939468.5.65
Cluster 1770,rna-XM_015281504.4.4
Cluster 1771,rna-NM_204749.3.7
Cluster 1772,rna-XM_030277784.3.11
Cluster 1773,rna-XM_015294676.4.15
Cluster 1774,rna-XM_015277552.4.6
Cluster 1775,rna-XM_004945616.5.22
Cluster 1776,rna-XM_040649099.2.17
Cluster 1777,rna-XM_421618.8.9
Cluster 1778,rna-XM_041714112.1.1
Cluster 1779,rna-XM_004937713.5.4
Cluster 1780,rna-XM_046939045.1.39
Cluster 1781,rna-NM_001030967.2.1
Cluster 1782,rna-XM_420787.8.7
Cluster 1783,rna-XM_041712464.1.104
Cluster 1784,rna-XM_004939388.5.1
Cluster 1785,rna-XM_015299647.4.57
Cluster 1786,rna-XM_418456.8.1
Cluster 1787,rna-XM_030264287.3.1
Cluster 1788,rna-XM_012576672.4.27
Cluster 1789,rna-XM_004935322.5.3
Cluster 1790,rna-XM_004934954.5.59
Cluster 1791,rna-NM_001322368.2.5
Cluster 1792,rna-XM_030271138.3.3
Cluster 1793,rna-XM_015291853.4.12
Cluster 1794,rna-XM_040654920.2.129
Cluster 1795,rna-XM_015292483.4.21
Cluster 1796,rna-XM_426033.8.1
Cluster 1797,rna-XM_040647915.2.15
Cluster 1798,rna-XM_004946793.5.18
Cluster 1799,rna-XM_015298714.4.4
Cluster 1800,rna-XM_416207.8.4
Cluster 1801,rna-XM_030275301.3.6
Cluster 1802,rna-XM_030282547.3.20
Cluster 1803,rna-XM_040695738.2.1
Cluster 1804,rna-XM_040699313.2.7
Cluster 1805,rna-XM_012572886.4.2
Cluster 1806,rna-XM_030257056.3.37
Cluster 1807,rna-XM_030255977.3.67
Cluster 1808,rna-XM_002198747.6.27
Cluster 1809,rna-XM_015281216.4.1
Cluster 1810,rna-NM_001030910.2.77
Cluster 1811,rna-XM_015282420.4.1
Cluster 1812,rna-XM_041716009.1.3
Cluster 1813,rna-XM_041718078.1.12
Cluster 1814,rna-XM_012568760.4.81
Cluster 1815,rna-XM_004943790.5.14
Cluster 1816,rna-XM_015284404.4.20
Cluster 1817,rna-XM_030280906.3.12
Cluster 1818,rna-XM_041712885.1.286
Cluster 1819,rna-XM_012573169.4.36
Cluster 1820,rna-XM_015300392.4.122
Cluster 1821,rna-XM_030283522.3.58
Cluster 1822,rna-XM_015282018.4.1
Cluster 1823,rna-XM_015292407.4.21
Cluster 1824,rna-XM_025144086.3.57
Cluster 1825,rna-XM_004937169.5.6
Cluster 1826,rna-XM_040697697.2.20
Cluster 1827,rna-XM_040655989.2.6
Cluster 1828,rna-NM_001290134.1.3
Cluster 1829,rna-NM_001030657.2.22
Cluster 1830,rna-XM_041714290.1.1
Cluster 1831,rna-XM_030272852.3.36
Cluster 1832,rna-XM_015291155.4.10
Cluster 1833,rna-XM_418898.8.1
Cluster 1834,rna-XM_040648104.2.22
Cluster 1835,rna-XM_030286289.3.24
Cluster 1836,rna-XM_424992.8.6
Cluster 1837,rna-XM_046901832.1.17
Cluster 1838,rna-XM_015277950.4.1
Cluster 1839,rna-XM_040649686.2.28
Cluster 1840,rna-XM_046903137.1.49
Cluster 1841,rna-XM_046898433.1.12
Cluster 1842,rna-XM_030275393.3.6
Cluster 1843,rna-XM_030278322.3.11
Cluster 1844,rna-XM_041713879.1.4
Cluster 1845,rna-NM_001031230.1.9
Cluster 1846,rna-XM_030272260.3.51
Cluster 1847,rna-XM_030265788.3.1
Cluster 1848,rna-XM_046898396.1.12
Cluster 1849,rna-NM_001039335.3.64
Cluster 1850,rna-XM_041711653.1.92
Cluster 1851,rna-XM_015279769.4.17
Cluster 1852,rna-XM_041711365.1.15
Cluster 1853,rna-XM_015292432.3.21
Cluster 1854,rna-XM_015287897.4.4
Cluster 1855,rna-XM_015280200.4.6
Cluster 1856,rna-XM_015297104.4.36
Cluster 1857,rna-XM_003642919.6.6
Cluster 1858,rna-XM_015299025.4.59
Cluster 1859,rna-XM_041716407.1.6
Cluster 1860,rna-XM_030275019.3.6
Cluster 1861,rna-XM_414432.8.13
Cluster 1862,rna-XM_414324.8.42
Cluster 1863,rna-XM_003641827.6.14
Cluster 1864,rna-XM_015280608.4.2
Cluster 1865,rna-XM_015296265.4.87
Cluster 1866,rna-XM_046899605.1.21
Cluster 1867,rna-XM_015276866.4.12
Cluster 1868,rna-XM_012571174.4.37
Cluster 1869,rna-XM_030277645.3.11
Cluster 1870,rna-XM_041720362.1.54
Cluster 1871,rna-XM_015292465.4.16
Cluster 1872,rna-XM_025154021.3.4
Cluster 1873,rna-XM_416491.8.67
Cluster 1874,rna-XM_015291306.4.10
Cluster 1875,rna-NM_001011688.3.1305
Cluster 1876,rna-NM_001389288.2.57
Cluster 1877,rna-XM_030272265.3.10
Cluster 1878,rna-XM_040654896.2.122
Cluster 1879,rna-XM_015288283.4.9
Cluster 1880,rna-XM_030283945.3.21
Cluster 1881,rna-XM_015294507.4.147
Cluster 1882,rna-XM_030271548.3.3
Cluster 1883,rna-XM_025151683.3.99
Cluster 1884,rna-XM_030275828.3.8
Cluster 1885,rna-XM_015296019.4.18
Cluster 1886,rna-XM_015277507.3.6
Cluster 1887,rna-XM_015293935.4.19
Cluster 1888,rna-XM_015293912.4.19
Cluster 1889,rna-NM_001389346.2.10
Cluster 1890,rna-XM_420565.6.108
Cluster 1891,rna-XM_015295829.4.18
Cluster 1892,rna-XM_030281430.3.48
Cluster 1893,rna-NM_205288.3.1
Cluster 1894,rna-XM_015287546.4.47
Cluster 1895,rna-XM_015297999.4.11
Cluster 1896,rna-XM_012577905.4.16
Cluster 1897,rna-XM_046940078.1.44
Cluster 1898,rna-NM_205107.2.35
Cluster 1899,rna-XM_413768.7.31
Cluster 1900,rna-NM_001389452.2.36
Cluster 1901,rna-XM_015287580.4.5
Cluster 1902,rna-XM_015278088.4.4
Cluster 1903,rna-XM_030264449.3.1
Cluster 1904,rna-XM_012570847.4.62
Cluster 1905,rna-XM_040652765.2.81
Cluster 1906,rna-XM_015291463.4.12
Cluster 1907,rna-XM_040700491.2.30
Cluster 1908,rna-XM_015295949.4.18
Cluster 1909,rna-XM_046940670.1.7
Cluster 1910,rna-XM_030262366.3.4
Cluster 1911,rna-XM_030259317.3.75
Cluster 1912,rna-XM_015296518.4.27
Cluster 1913,rna-XM_040701776.2.53
Cluster 1914,rna-XM_015287044.4.47
Cluster 1915,rna-XM_040651288.2.49
Cluster 1916,rna-XM_030286410.3.24
Cluster 1917,rna-XM_030261306.3.1
Cluster 1918,rna-XM_030263037.3.4
Cluster 1919,rna-XM_040699602.2.44
Cluster 1920,rna-XM_015296888.3.49
Cluster 1921,rna-XM_030271411.3.3
Cluster 1922,rna-XM_041720979.1.31
Cluster 1923,rna-XM_004940630.5.61
Cluster 1924,rna-XM_030278194.3.25
Cluster 1925,rna-XM_015276722.4.7
Cluster 1926,rna-XM_040698068.2.3
Cluster 1927,rna-XM_003643072.6.74
Cluster 1928,rna-XM_416660.8.11
Cluster 1929,rna-XM_030286802.3.24
Cluster 1930,rna-XM_030281553.3.40
Cluster 1931,rna-NM_001177436.2.5
Cluster 1932,rna-NM_001271974.2.22
Cluster 1933,rna-XM_015293787.3.19
Cluster 1934,rna-NM_001031188.2.5
Cluster 1935,rna-NM_001389392.2.19
Cluster 1936,rna-XM_041712704.1.172
Cluster 1937,rna-XM_030276220.3.8
Cluster 1938,rna-XM_015289366.4.8
Cluster 1939,rna-NM_204891.2.18
Cluster 1940,rna-XM_015277661.4.6
Cluster 1941,rna-XM_416077.8.4
Cluster 1942,rna-XM_015299988.4.84
Cluster 1943,rna-XM_040651289.2.49
Cluster 1944,rna-XM_041720542.1.47
Cluster 1945,rna-XM_030283799.3.21
Cluster 1946,rna-XM_015295957.4.18
Cluster 1947,rna-XM_040666293.2.2
Cluster 1948,rna-XM_025148981.3.26
Cluster 1949,rna-XM_015298721.4.81
Cluster 1950,rna-XM_030256316.3.70
Cluster 1951,rna-XM_041713610.1.4
Cluster 1952,rna-XM_041712520.1.703
Cluster 1953,rna-XM_046943105.1.9
Cluster 1954,rna-XM_420421.8.7
Cluster 1955,rna-XM_004944703.5.13
Cluster 1956,rna-XM_025150356.3.7
Cluster 1957,rna-XM_003641394.6.5
Cluster 1958,rna-NM_205348.4.35
Cluster 1959,rna-XM_012575555.4.12
Cluster 1960,rna-XM_025142325.3.27
Cluster 1961,rna-XM_040662595.2.11
Cluster 1962,rna-XM_425019.8.6
Cluster 1963,rna-XM_040648513.2.22
Cluster 1964,rna-NM_001004395.2.59
Cluster 1965,rna-XM_030271528.3.3
Cluster 1966,rna-XM_420329.8.33
Cluster 1967,rna-XM_425567.8.2
Cluster 1968,rna-NM_001030909.2.52
Cluster 1969,rna-NM_205439.2.35
Cluster 1970,rna-XM_423748.8.13
Cluster 1971,rna-XM_015297480.4.152
Cluster 1972,rna-XM_041711498.1.83
Cluster 1973,rna-XM_030288635.3.18
Cluster 1974,rna-XM_032746772.2.1
Cluster 1975,rna-XM_030256015.3.70
Cluster 1976,rna-NM_001079743.2.126
Cluster 1977,rna-XM_040647664.2.36
Cluster 1978,rna-XM_046944593.1.67
Cluster 1979,rna-NM_001012944.2.6
Cluster 1980,rna-XM_041712881.1.149
Cluster 1981,rna-XM_418564.7.1
Cluster 1982,rna-XM_025148653.2.341
Cluster 1983,rna-XM_030284194.3.21
Cluster 1984,rna-XM_030270064.3.2
Cluster 1985,rna-XM_015297290.4.126
Cluster 1986,rna-NM_001012858.2.41
Cluster 1987,rna-XM_015286171.3.5
Cluster 1988,rna-XM_046942162.1.116
Cluster 1989,rna-XM_012571933.4.1
Cluster 1990,rna-XM_416621.8.36
Cluster 1991,rna-XM_040649643.1.63
Cluster 1992,rna-XM_426203.8.3
Cluster 1993,rna-XM_015289519.4.8
Cluster 1994,rna-XM_030275580.3.38
Cluster 1995,rna-XM_025154515.3.13
Cluster 1996,rna-XM_030291478.3.62
Cluster 1997,rna-XM_004938609.3.2
Cluster 1998,rna-XM_015283640.4.4
Cluster 1999,rna-XM_030256205.3.67
Cluster 2000,rna-XM_420609.8.24
Cluster 2001,rna-XM_015275491.3.22
Cluster 2002,rna-XM_025152581.3.8
Cluster 2003,rna-XM_040647119.2.19
Cluster 2004,rna-XM_046899269.1.31
Cluster 2005,rna-XM_030275316.3.6
Cluster 2006,rna-XM_041719485.1.60
Cluster 2007,rna-XM_015294049.3.37
Cluster 2008,rna-XM_046902958.1.87
Cluster 2009,rna-XM_030268894.3.5
Cluster 2010,rna-XM_041712366.1.229
Cluster 2011,rna-XM_041712713.1.2754
Cluster 2012,rna-XM_030283778.2.35
Cluster 2013,rna-XM_041719047.1.16
Cluster 2014,rna-XM_040703101.2.9
Cluster 2015,rna-XM_040650429.2.18
Cluster 2016,rna-XM_040655841.2.115
Cluster 2017,rna-XM_421974.8.8
Cluster 2018,rna-XM_041716634.1.6
Cluster 2019,rna-XM_030258278.3.4
Cluster 2020,rna-XM_032749884.2.9
Cluster 2021,rna-XM_004944886.5.19
Cluster 2022,rna-NM_204232.3.50
Cluster 2023,rna-XM_041712172.1.907
Cluster 2024,rna-XM_040690622.2.1
Cluster 2025,rna-XM_012572010.4.1
Cluster 2026,rna-NM_205521.2.34
Cluster 2027,rna-XM_046909597.1.109
Cluster 2028,rna-XM_041720669.1.47
Cluster 2029,rna-XM_030291227.3.62
Cluster 2030,rna-XM_040696845.2.3
Cluster 2031,rna-XM_032744365.2.7
Cluster 2032,rna-XM_030259320.3.75
Cluster 2033,rna-XM_040646736.2.13
Cluster 2034,rna-NM_001012940.2.53
Cluster 2035,rna-XM_030274769.3.10
Cluster 2036,rna-XM_040653695.2.331
Cluster 2037,rna-XM_030280611.3.12
Cluster 2038,rna-XM_030256354.3.63
Cluster 2039,rna-XM_040701801.2.53
Cluster 2040,rna-XM_046902963.1.87
Cluster 2041,rna-XM_030279233.3.9
Cluster 2042,rna-XM_002193728.5.10
Cluster 2043,rna-XM_416831.8.2
Cluster 2044,rna-XM_040695907.2.1
Cluster 2045,rna-XM_421496.8.9
Cluster 2046,rna-XM_030273415.3.6
Cluster 2047,rna-XM_015294025.4.67
Cluster 2048,rna-XM_025143045.3.121
Cluster 2049,rna-NM_001199544.4.9
Cluster 2050,rna-XM_015291397.4.12
Cluster 2051,rna-XM_015277778.4.11
Cluster 2052,rna-XM_041712247.1.3607
Cluster 2053,rna-XM_040650085.2.18
Cluster 2054,rna-XM_030286805.3.10
Cluster 2055,rna-XM_041721077.1.62
Cluster 2056,rna-XM_041717507.1.11
Cluster 2057,rna-XM_015288521.4.9
Cluster 2058,rna-XM_012569644.4.20
Cluster 2059,rna-XM_002193757.5.26
Cluster 2060,rna-NM_205263.3.73
Cluster 2061,rna-XM_015296836.4.78
Cluster 2062,rna-XM_015276561.4.24
Cluster 2063,rna-NM_001111135.2.60
Cluster 2064,rna-NM_204322.3.6
Cluster 2065,rna-XM_041721290.1.44
Cluster 2066,rna-XM_015296078.4.18
Cluster 2067,rna-XM_422849.8.12
Cluster 2068,rna-XM_030291082.3.4
Cluster 2069,rna-XM_030268245.3.5
Cluster 2070,rna-NM_001193638.2.8
Cluster 2071,rna-XM_030289258.3.54
Cluster 2072,rna-XM_004935034.5.88
Cluster 2073,rna-XM_025153225.3.10
Cluster 2074,rna-XM_419157.8.1
Cluster 2075,rna-XM_418085.8.85
Cluster 2076,rna-XM_003641245.6.7
Cluster 2077,rna-XM_046941252.1.92
Cluster 2078,rna-XM_003642867.5.84
Cluster 2079,rna-NM_001396683.1.12
Cluster 2080,rna-XM_041721423.1.70
Cluster 2081,rna-XM_003641088.6.30
Cluster 2082,rna-XM_413971.8.29
Cluster 2083,rna-XM_015283024.4.1
Cluster 2084,rna-NM_001111137.2.60
Cluster 2085,rna-XM_040647059.2.60
Cluster 2086,rna-XM_004936973.5.12
Cluster 2087,rna-XM_030263420.3.15
Cluster 2088,rna-XM_041719546.1.260
Cluster 2089,rna-XM_041711776.1.92
Cluster 2090,rna-XM_015289308.4.35
Cluster 2091,rna-NM_001396157.1.2
Cluster 2092,rna-XM_418905.8.1
Cluster 2093,rna-NM_001396682.1.75
Cluster 2094,rna-XM_004935352.5.3
Cluster 2095,rna-XM_046901077.1.50
Cluster 2096,rna-NM_001006479.3.5
Cluster 2097,rna-XM_415093.8.22
Cluster 2098,rna-XM_041721157.1.62
Cluster 2099,rna-XM_041712181.1.125
Cluster 2100,rna-XM_030287296.3.55
Cluster 2101,rna-XM_030281494.3.19
Cluster 2102,rna-XM_004937883.5.47
Cluster 2103,rna-NM_001006397.2.3
Cluster 2104,rna-XM_040701480.2.142
Cluster 2105,rna-XM_041715370.1.34
Cluster 2106,rna-XM_040650575.2.18
Cluster 2107,rna-XM_040704315.2.8
Cluster 2108,rna-NM_001397123.1.67
Cluster 2109,rna-NM_001111134.2.2067
Cluster 2110,rna-XM_030273564.3.45
Cluster 2111,rna-XM_041718549.1.39
Cluster 2112,rna-XM_046939845.1.46
Cluster 2113,rna-XM_417222.8.2
Cluster 2114,rna-XM_004941063.5.24
Cluster 2115,rna-NM_001098609.2.2
Cluster 2116,rna-NM_001395984.1.149
Cluster 2117,rna-XM_001234608.7.4
Cluster 2118,rna-XM_046943908.1.136
Cluster 2119,rna-XM_030288208.3.27
Cluster 2120,rna-NM_205430.3.11
Cluster 2121,rna-NM_001319008.2.35
Cluster 2122,rna-NM_001111136.3.60
Cluster 2123,rna-NM_001040228.3.1
Cluster 2124,rna-NM_001012838.2.78
Cluster 2125,rna-NM_001031175.3.116
Cluster 2126,rna-XM_041719633.1.24
Cluster 2127,rna-XM_003641627.6.8
Cluster 2128,rna-XM_015279684.4.17
Cluster 2129,rna-XM_015289053.4.9
Cluster 2130,rna-XM_046940788.1.33
Cluster 2131,rna-XM_015278754.4.31
Cluster 2132,rna-NM_001111131.3.60
Cluster 2133,rna-XM_425778.8.51
Cluster 2134,rna-XM_030258596.3.7
Cluster 2135,rna-XM_015279138.4.21
Cluster 2136,rna-XM_025148403.3.1
Cluster 2137,rna-XM_424872.8.54
Cluster 2138,rna-XM_046940504.1.33
Cluster 2139,rna-XM_041713054.1.151
Cluster 2140,rna-XM_015291824.4.12
Cluster 2141,rna-XM_004934367.5.22
Cluster 2142,rna-XM_025143817.3.439
Cluster 2143,rna-XM_015272933.4.2
Cluster 2144,rna-XM_030274923.3.6
Cluster 2145,rna-XM_030287921.3.27
Cluster 2146,rna-XM_030271976.3.3
Cluster 2147,rna-XM_420310.8.33
Cluster 2148,rna-XM_421414.7.5
Cluster 2149,rna-XM_015283550.4.133
Cluster 2150,rna-NM_001031056.3.3
Cluster 2151,rna-NM_001305135.2.8
Cluster 2152,rna-XM_012570200.4.40
Cluster 2153,rna-XM_422593.8.12
Cluster 2154,rna-XM_040646769.2.13
Cluster 2155,rna-XM_030283086.3.13
Cluster 2156,rna-NM_001031363.2.57
Cluster 2157,rna-XM_025149135.3.3
Cluster 2158,rna-XM_040697545.2.3
Cluster 2159,rna-XM_030264668.3.1
Cluster 2160,rna-XM_030280325.3.12
Cluster 2161,rna-NM_001005347.3.7
Cluster 2162,rna-NM_204988.2.80
Cluster 2163,rna-XM_025153257.3.10
Cluster 2164,rna-XM_002198610.5.1
Cluster 2165,rna-NM_001031585.3.1
Cluster 2166,rna-XM_015289568.4.8
Cluster 2167,rna-XM_015291026.4.10
Cluster 2168,rna-XM_015297218.4.78
Cluster 2169,rna-XM_030257154.3.37
Cluster 2170,rna-XM_040656632.2.4
Cluster 2171,rna-XM_015279301.4.17
Cluster 2172,rna-XM_041716459.1.6
Cluster 2173,rna-XM_030287792.3.27
Cluster 2174,rna-XM_030271664.3.3
Cluster 2175,rna-XM_414842.8.15
Cluster 2176,rna-NM_001278060.3.15
Cluster 2177,rna-NM_001008683.2.9
Cluster 2178,rna-XM_040699864.2.125
Cluster 2179,rna-XM_425649.8.2
Cluster 2180,rna-NM_001305209.2.19
Cluster 2181,rna-NM_204840.4.4
Cluster 2182,rna-XM_041720740.1.42
Cluster 2183,rna-XM_015273140.4.82
Cluster 2184,rna-XM_015282340.4.1
Cluster 2185,rna-XM_015292104.4.14
Cluster 2186,rna-XM_415310.7.22
Cluster 2187,rna-XM_025149162.3.3
Cluster 2188,rna-XM_030270040.3.2
Cluster 2189,rna-XM_012575056.4.21
Cluster 2190,rna-NM_001199507.2.9
Cluster 2191,rna-NM_001318993.2.35
Cluster 2192,rna-NM_001396526.1.1
Cluster 2193,rna-XM_015275360.4.22
Cluster 2194,rna-NM_001285501.2.15
Cluster 2195,rna-XM_041711568.1.75
Cluster 2196,rna-XM_030286004.3.26
Cluster 2197,rna-XM_041718874.1.13
Cluster 2198,rna-XM_419349.8.25
Cluster 2199,rna-XM_041720952.1.4
Cluster 2200,rna-XM_417089.8.2
Cluster 2201,rna-XM_046941277.1.7
Cluster 2202,rna-XM_032752232.2.47
Cluster 2203,rna-NM_204980.4.12
Cluster 2204,rna-XM_015294883.4.22
Cluster 2205,rna-NM_001199655.2.5
Cluster 2206,rna-NM_204861.2.14
Cluster 2207,rna-NM_001321517.2.19
Cluster 2208,rna-XM_030272232.3.3
Cluster 2209,rna-XM_422070.8.8
Cluster 2210,rna-XM_015280468.4.29
Cluster 2211,rna-XM_025148061.3.1
Cluster 2212,rna-XM_025150963.3.71
Cluster 2213,rna-NM_001197050.2.49
Cluster 2214,rna-XM_046898783.1.75
Cluster 2215,rna-XM_046904367.1.85
Cluster 2216,rna-NM_001030664.3.22
Cluster 2217,rna-XM_030256934.3.4
Cluster 2218,rna-XM_030277728.3.11
Cluster 2219,rna-XM_417389.8.38
Cluster 2220,rna-XM_046900905.1.91
Cluster 2221,rna-XM_015295491.4.76
Cluster 2222,rna-XM_030287364.3.55
Cluster 2223,rna-XM_030278280.3.5
Cluster 2224,rna-XM_041711802.1.137
Cluster 2225,rna-XM_046942711.1.9
Cluster 2226,rna-NM_001396474.1.60
Cluster 2227,rna-XM_421327.8.5
Cluster 2228,rna-NM_204360.3.67
Cluster 2229,rna-XM_015280875.4.2
Cluster 2230,rna-NM_001398249.1.3
Cluster 2231,rna-NM_001285499.2.28
Cluster 2232,rna-NM_001012843.2.59
Cluster 2233,rna-XM_032749735.2.9
Cluster 2234,rna-XM_015298646.4.105
Cluster 2235,rna-XM_015279131.4.21
Cluster 2236,rna-XM_015281418.4.1
Cluster 2237,rna-XM_002197177.6.10
Cluster 2238,rna-NM_001397694.1.51
Cluster 2239,rna-XM_030285622.3.60
Cluster 2240,rna-XM_030265819.3.1
Cluster 2241,rna-XM_004939171.5.1
Cluster 2242,rna-NM_001031454.2.31
Cluster 2243,rna-XM_030287042.3.24
Cluster 2244,rna-XM_001235084.7.5
Cluster 2245,rna-XM_046917574.1.1
Cluster 2246,rna-XM_046902722.1.18
Cluster 2247,rna-NM_001396270.1.5
Cluster 2248,rna-XM_041719001.1.21
Cluster 2249,rna-XM_046944024.1.35
Cluster 2250,rna-XM_004948730.5.86
Cluster 2251,rna-XM_040655838.2.115
Cluster 2252,rna-XM_030287873.3.27
Cluster 2253,rna-XM_030256421.3.70
Cluster 2254,rna-XM_030271088.3.3
Cluster 2255,rna-XM_004941959.5.9
Cluster 2256,rna-XM_429201.8.74
Cluster 2257,rna-XM_041716399.1.6
Cluster 2258,rna-XM_030270665.3.3
Cluster 2259,rna-XM_030288817.3.18
Cluster 2260,rna-XM_046904431.1.2
Cluster 2261,rna-XM_015281535.4.4
Cluster 2262,rna-XM_015290088.4.8
Cluster 2263,rna-XM_040700803.2.142
Cluster 2264,rna-XM_046938493.1.110
Cluster 2265,rna-XM_004936671.5.10
Cluster 2266,rna-XM_426327.7.79
Cluster 2267,rna-XM_046944481.1.10
Cluster 2268,rna-NM_001006399.2.3
Cluster 2269,rna-XM_004936224.5.7
Cluster 2270,rna-XM_030290302.3.42
Cluster 2271,rna-XM_004934469.5.22
Cluster 2272,rna-XM_416707.8.252
Cluster 2273,rna-XM_015287596.4.5
Cluster 2274,rna-XM_015298177.4.52
Cluster 2275,rna-XM_041719681.1.24
Cluster 2276,rna-XM_030283482.3.13
Cluster 2277,rna-XM_015299147.4.59
Cluster 2278,rna-XM_040649528.2.63
Cluster 2279,rna-NM_204431.2.34
Cluster 2280,rna-XM_030263167.3.4
Cluster 2281,rna-XM_041720470.1.46
Cluster 2282,rna-XM_041712703.1.6087
Cluster 2283,rna-XM_025151673.3.9
Cluster 2284,rna-XM_015286847.2.145
Cluster 2285,rna-XM_040651035.2.27
Cluster 2286,rna-XM_015277913.4.11
Cluster 2287,rna-NM_001293305.3.8
Cluster 2288,rna-XM_425744.7.49
Cluster 2289,rna-NM_001012878.3.3
Cluster 2290,rna-XM_025149095.3.3
Cluster 2291,rna-XM_041711998.1.122
Cluster 2292,rna-XM_041715421.1.2
Cluster 2293,rna-NM_001012600.3.12
Cluster 2294,rna-XM_041711136.1.28
Cluster 2295,rna-NM_001398433.1.64
Cluster 2296,rna-XM_046931754.1.1
Cluster 2297,rna-XM_015278843.4.4
Cluster 2298,rna-XM_015275764.4.4
Cluster 2299,rna-XM_015295831.4.18
Cluster 2300,rna-XM_004947360.5.49
Cluster 2301,rna-XM_015300251.4.100
Cluster 2302,rna-XM_046899708.1.21
Cluster 2303,rna-NM_001006301.2.49
Cluster 2304,rna-XM_419165.8.1
Cluster 2305,rna-XM_004938840.5.2
Cluster 2306,rna-XM_030281540.3.19
Cluster 2307,rna-XM_015294280.4.4
Cluster 2308,rna-NM_001031225.3.98
Cluster 2309,rna-NM_001006467.2.5
Cluster 2310,rna-XM_419963.8.3
Cluster 2311,rna-NM_001321549.2.6
Cluster 2312,rna-XM_041719864.1.61
Cluster 2313,rna-XM_041711295.1.28
Cluster 2314,rna-XM_426162.8.5
Cluster 2315,rna-XM_015287026.4.47
Cluster 2316,rna-XM_422777.8.12
Cluster 2317,rna-XM_015290548.4.32
Cluster 2318,rna-XM_030264374.3.5
Cluster 2319,rna-XM_041717739.1.9
Cluster 2320,rna-XM_012578080.4.26
Cluster 2321,rna-XM_046923314.1.1
Cluster 2322,rna-XM_046902573.1.18
Cluster 2323,rna-XM_030257349.3.7
Cluster 2324,rna-XM_030281161.3.40
Cluster 2325,rna-NM_001031033.2.80
Cluster 2326,rna-NM_001082418.3.82
Cluster 2327,rna-XM_002193241.5.7
Cluster 2328,rna-XM_015278392.4.61
Cluster 2329,rna-XM_040660512.2.2
Cluster 2330,rna-XM_003642598.6.52
Cluster 2331,rna-XM_040651559.2.152
Cluster 2332,rna-XM_424529.8.58
Cluster 2333,rna-XM_041716273.1.36
Cluster 2334,rna-NM_001130741.2.4
Cluster 2335,rna-XM_015285277.4.43
Cluster 2336,rna-XM_015286072.4.7
Cluster 2337,rna-XM_046943545.1.35
Cluster 2338,rna-XM_015278934.4.31
Cluster 2339,rna-XM_032746408.2.4
Cluster 2340,rna-XM_015275936.4.1
Cluster 2341,rna-NM_001396448.1.60
Cluster 2342,rna-XM_015284626.4.3
Cluster 2343,rna-XM_032744075.2.28
Cluster 2344,rna-XM_030277045.3.68
Cluster 2345,rna-XM_040650768.2.27
Cluster 2346,rna-XM_030264095.3.1
Cluster 2347,rna-XM_041718058.1.32
Cluster 2348,rna-XM_015287645.4.5
Cluster 2349,rna-XM_046942616.1.71
Cluster 2350,rna-XM_015299228.4.85
Cluster 2351,rna-XM_030257381.3.7
Cluster 2352,rna-XM_032747008.2.5
Cluster 2353,rna-XM_041717304.1.11
Cluster 2354,rna-XM_417874.8.52
Cluster 2355,rna-XM_040707237.2.16
Cluster 2356,rna-XM_015289367.4.8
Cluster 2357,rna-XM_041714901.1.2
Cluster 2358,rna-XM_030257082.3.15
Cluster 2359,rna-XM_046944239.1.10
Cluster 2360,rna-NM_001278155.2.3
Cluster 2361,rna-XM_425408.7.18
Cluster 2362,rna-XM_015278122.4.3
Cluster 2363,rna-XM_004939276.5.1
Cluster 2364,rna-XM_004937201.5.6
Cluster 2365,rna-XM_417426.8.38
Cluster 2366,rna-NM_001080716.2.6
Cluster 2367,rna-XM_041718924.1.21
Cluster 2368,rna-XM_001232111.7.138
Cluster 2369,rna-XM_015279046.4.146
Cluster 2370,rna-XM_040696321.2.140
Cluster 2371,rna-XM_004940211.5.25
Cluster 2372,rna-XM_046905176.1.6
Cluster 2373,rna-XM_030264727.3.1
